,Name,Review Rate,Review Time,Review Text
0,Joya, 4 stars ,3 years ago,"We really liked the atmosphere and overall vibe of the place. An alternative take on specific Thai and Japanese classics. I’ll be honest... It is quite pricey. I know I know... I may be nitpicking here, but it’s how I experienced it …"
1,Joya, 5 stars ,3 years ago,"I had nothing to complain about. We had a delicious 4 course meal with some on-the-spot wine recommendations. Slightly elevated ambience, nice atmosphere with some Amsterdam-typical industrial look elements. We felt very welcome and enjoyed …"
2,Joya, 5 stars ,4 years ago,"Service on fleek, personal and professional. Beautifully presented dishes with seasonal products.  Great location for dinner or the most fabulous cocktails."
3,Joya, 4 stars ,4 years ago,Very nice atmosphere and it's kind of street food you get. A bit expensive but great quality.
4,Joya, 5 stars ,3 years ago,"Absolutely fantastic! The food is really wonderful. Also they have a very eclectic selection of wines from all over the world you can taste by glass. The atmosphere is as delicious as the food. And the top most is the staff, they were super with the kids and us. If you come to Amsterdam, try it out."
5,Joya, 5 stars ,5 years ago,"I loved the adventure of the surprise prix fixe menu, and the food was amazing! So well done. Don't skip the wine pairings. They were so unusual and well paired with each course. …"
6,Joya, 5 stars ,4 years ago,"Amazing dishes, very unique and gastronomic. The price is really good for the quality of the dining experience. Service is great and very knowledgeable about the dishes they serve and the wines to pair. All in all, a great experience!"
7,Joya, 5 stars ,4 years ago,"Joya combines the Thai, Japanese and French cuisine and that results in delicious food! My personal favorites are the Thai steak tartare, the crispy softshell crab and the Three Lions. The staff is very friendly and attentive. Joya is a perfect place for having full course dinner in good company."
8,Joya, 5 stars ,4 years ago,Yes!! I am happy with this new spot in town. Delicious diner which I started with great oysters. The staff is very kind and professional. Love to go back there!! Great recommendation.
9,Joya, 5 stars ,3 years ago,We had such a great evening of fine dining. Joya is a beautiful designed restaurant...eye candy! The service is top notch and the food is delicious.
10,Joya, 3 stars ,4 years ago,"The ambience is nice, not a vegetarian friendly place. The service was quite slow. Generally, the menu didn't have enough options, even for a non - vegetarian place. I was a bit disappointed!"
11,Joya, 5 stars ,4 years ago,Great service. Flavours were of all the dishes were fantastic and well balanced. Beautiful interior design.
12,Joya, 5 stars ,4 years ago,"Entrecote + the veal sweetbread was fantastic!! And so nice you can also eat a la carte nowadays!
This place is a total must go!"
13,Joya, 4 stars ,3 years ago,Great food although the service was a little slow for our liking.
14,Joya, 5 stars ,4 years ago,"Excellent food, nice ambiance, really friendly staff."
15,Joya, 5 stars ,3 years ago,"Excellent quality  and interesting tastes, good service, definitely recommended!"
16,Joya, 5 stars ,3 years ago,Great asian cuisine. Long wait before you get what you ordered.
17,Joya, 3 stars ,5 years ago,Food not so exciting but nice service and ambience
18,Joya, 5 stars ,3 years ago,"Very good food , I recommend this place to eat"
19,Joya, 5 stars ,4 years ago,Excellent place.  A must culinary experience.
20,Joya, 5 stars ,3 years ago,Amazing food and exquisite decor.
21,Joya, 5 stars ,4 years ago,Beautiful venue with great food and friendly staff.
22,Joya, 2 stars ,3 years ago,"Slow service, mediocre food, overpriced"
23,Joya, 5 stars ,4 years ago,Awesome sharing food for large groups
24,Joya, 4 stars ,4 years ago,It was a bit expensive but a super cool place and would for sure go again
25,Joya, 5 stars ,3 years ago,Exceptional taste and very nourishing.
26,Joya, 5 stars ,4 years ago,Very nice place .Food is amazing. The staff  very friendly.
27,Joya, 5 stars ,4 years ago,Wow! Great fusion meal.
28,Joya, 4 stars ,3 years ago,Good food
29,Joya, 3 stars ,3 years ago,"New idea, must try at least once."
30,Joya, 5 stars ,4 years ago,What a wonderful cacophony of flavours....
31,Joya, 3 stars ,5 years ago,I really enjoyed the set menu. The restaurant is very popular and on a Saturday night it's sold out. It is quite noisy - everyone is shouting and there are a lot of 4 to 6 person groups. …
32,Joya, 5 stars ,4 years ago,excellent porn star martinis
33,Joya, 5 stars ,3 years ago,Good tasteful food
34,Joya, 4 stars ,4 years ago,Service was slow and not attentive
35,Joya, 5 stars ,3 years ago,Chaiwat recommended this to me.
36,Joya, 5 stars ,4 years ago,"(Translated by Google) Shared dining concept in the heart of the city center. The terrace has fine tables and chairs and there is a subtle smell of incense. Nice atmosphere! The oysters were delicious, as were the scallop foie gras and tuna …"
37,Joya, 5 stars ,3 years ago,"(Translated by Google) Definitely a winner for me. Delicious food, a very nice atmosphere and nice service. In short ..... try! …"
38,Joya, 2 stars ,3 years ago,"(Translated by Google) Food was really delicious. You have to wait a long time for the next dish. The portions were also very small, making the wait in between was not pleasant. The wait for my food from 7:30 - 11:30 (3 dishes) was not …"
39,Joya, 4 stars ,4 years ago,(Translated by Google) Nice restaurant within walking distance of Amsterdam Central Station. Delicious dishes. …
40,Joya, 5 stars ,3 years ago,(Translated by Google) Super delicious Asian food. Good modern beat in the background. Mega friendly service! …
41,Joya, 5 stars ,4 years ago,(Translated by Google) Delicious oysters eaten on a Thursday evening in the Lounge. Later continued at the table and greatly enjoyed the gourmet dishes. It was very busy on the Thursday evening and we had a great time. I like the a la carte …
42,Joya, 5 stars ,4 years ago,"(Translated by Google) What an asset to Amsterdam this business! How glad I am to have discovered this 'hidden gem'. Very sweet service - who is not pushy, and always walks around with a smile (and they all look beautiful all of them). …"
43,Joya, 2 stars ,3 years ago,"(Translated by Google) Bizarrely unfriendly female service, the ladies apparently didn't feel like it last Saturday. In addition, regularly having to ask for wine and water while the food was already served. That was very tasty by the way, …"
44,Joya, 5 stars ,4 years ago,"(Translated by Google) The oyster and gin and tonic evening on Thursday alone is worth the trouble to walk in !! In addition, a delicious little dinner menu with particularly tasty dishes. Delicious food and great service !! …"
45,Joya, 5 stars ,4 years ago,"(Translated by Google) Never had such a nice cocktail, fine dining experience was very nice. Nice tip for a romantic start to the weekend …"
46,Joya, 5 stars ,3 years ago,"(Translated by Google) Great food, top service and super atmosphere. Basically everything good! Especially the ceviche is highly recommended! …"
47,Joya, 5 stars ,4 years ago,"(Translated by Google) We came for the sushi, but they didn't ... but completely compensated with very nice and tasty dishes! …"
48,Joya, 5 stars ,3 years ago,"(Translated by Google) Superb food, friendly staff and tasteful decor. The atmosphere of the public is to see and be seen. …"
49,Joya, 5 stars ,3 years ago,"(Translated by Google) Warm reception, good wines and cocktails, very tasty dishes and super atmosphere. definitely a must see in Amsterdam. …"
50,Joya, 5 stars ,4 years ago,"(Translated by Google) Surprisingly good mix of French-Asian. Small menu, but delicious dishes. An asset to the city. …"
51,Joya, 5 stars ,4 years ago,(Translated by Google) Very nice restaurant. The food is good and surprising. New Years Eve was very well organized. …
52,Joya, 5 stars ,4 years ago,"(Translated by Google) Super tasty and great vibe

(Original)
Super lekker en goeie vibe"
53,Joya, 5 stars ,3 years ago,"(Translated by Google) Atmospheric and tasteful! A unique concept: a mix of Thai and Japanese cuisine, prepared in a French way. …"
54,Joya, 5 stars ,3 years ago,"(Translated by Google) Delicious food and very nice, good service! Highly recommended …"
55,Joya, 5 stars ,4 years ago,(Translated by Google) Eaten delicious oysters. Beautiful interior and very friendly service. Recommended. …
56,Joya, 4 stars ,4 years ago,"(Translated by Google) Great food, pleasant atmosphere, good wine, friendly staff. …"
57,Joya, 5 stars ,4 years ago,"(Translated by Google) Super tasty food! Good cocktails. Nice thing.

(Original) …"
58,Joya, 3 stars ,4 years ago,"(Translated by Google) Service was mediocre, food was ok (bit pricey)

(Original) …"
59,Joya, 5 stars ,3 years ago,"(Translated by Google) Super cozy atmosphere, great decoration, and just exceptional dishes !! …"
